what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1295140813628
started,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1295140813631
started,bundle,org.eclipse.jface,3.6.0.I20100601-0800,"org.eclipse.jface",1295140813631
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1295140813632
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1295140813632
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1295140813633
started,bundle,org.eclipse.mylyn.commons.net,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.net",1295140813633
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1295140813634
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1295140813634
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1295140813635
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1295140813635
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1295140813637
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1295140813637
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1295140813638
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1295140813638
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1295140813639
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1295140813640
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1295140813641
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1295140813642
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1295140813642
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1295140813643
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1295140813643
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1295140813644
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1295140813645
started,bundle,org.eclipse.ui.intro.universal,3.2.400.v20100517,"org.eclipse.ui.intro.universal",1295140813645
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1295140813645
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1295140813646
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1295140813646
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1295140813646
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1295140813647
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1295140813648
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1295140813649
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1295140813649
started,bundle,org.eclipse.update.ui,3.2.300.v20100512,"org.eclipse.update.ui",1295140813650
started,bundle,com.aptana.ide.core,2.0.5.1278523018,"com.aptana.ide.core",1295140813650
started,bundle,com.aptana.ide.core.ui,2.0.5.1278523018,"com.aptana.ide.core.ui",1295140813650
started,bundle,com.aptana.ide.debug.core,2.0.0.1278523018,"com.aptana.ide.debug.core",1295140813650
started,bundle,com.aptana.ide.debug.ui,2.0.0.1254164293,"com.aptana.ide.debug.ui",1295140813651
started,bundle,com.aptana.ide.desktop.integration.protocolhandler,2.0.0.1278523018,"com.aptana.ide.desktop.integration.protocolhandler",1295140813651
started,bundle,com.aptana.ide.desktop.integration.server,2.0.0.1278523018,"com.aptana.ide.desktop.integration.server",1295140813651
started,bundle,com.aptana.ide.editors,2.0.5.1278523018,"com.aptana.ide.editors",1295140813651
started,bundle,com.aptana.ide.epl,2.0.0.1278523018,"com.aptana.ide.epl",1295140813652
started,bundle,com.aptana.ide.installer,2.0.5.1278523018,"com.aptana.ide.installer",1295140813652
started,bundle,com.aptana.ide.intro,2.0.0.1278523018,"com.aptana.ide.intro",1295140813653
started,bundle,com.aptana.ide.scripting,2.0.0.1278523018,"com.aptana.ide.scripting",1295140813653
started,bundle,com.aptana.ide.server.jetty,2.0.0.1278523018,"com.aptana.ide.server.jetty",1295140813653
started,bundle,com.aptana.ide.update,2.0.5.1278523018,"com.aptana.ide.update",1295140813654
started,bundle,com.aptana.ide.update.eclipse34,2.0.5.1278614541,"com.aptana.ide.update.eclipse34",1295140813654
started,bundle,com.aptana.ide.update.eclipse35,2.0.5.1278614541,"com.aptana.ide.update.eclipse35",1295140813654
started,bundle,com.aptana.ide.update.eclipse36,1.0.0.1278614541,"com.aptana.ide.update.eclipse36",1295140813655
started,bundle,com.aptana.ide.update.ui,2.0.0.1278614541,"com.aptana.ide.update.ui",1295140813655
started,bundle,org.eclipse.eclipsemonkey,2.0.5.1278445773,"org.eclipse.eclipsemonkey",1295140813655
started,bundle,org.eclipse.eclipsemonkey.lang.javascript,2.0.0.1277749615,"org.eclipse.eclipsemonkey.lang.javascript",1295140813655
os,sysinfo,,,"linux",1295140813659
arch,sysinfo,,,"x86",1295140813659
ws,sysinfo,,,"gtk",1295140813659
locale,sysinfo,,,"en_US",1295140813659
processors,sysinfo,,,"4",1295140813659
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1295140813659
java.runtime.version,sysinfo,,,"1.6.0_20-b20",1295140813660
java.specification.name,sysinfo,,,"Java Platform API Specification",1295140813660
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1295140813660
java.specification.version,sysinfo,,,"1.6",1295140813660
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1295140813660
java.version,sysinfo,,,"1.6.0_20",1295140813660
java.vm.info,sysinfo,,,"mixed mode, sharing",1295140813660
java.vm.name,sysinfo,,,"OpenJDK Client VM",1295140813660
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1295140813660
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1295140813660
java.vm.specification.version,sysinfo,,,"1.0",1295140813660
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1295140813660
java.vm.version,sysinfo,,,"19.0-b09",1295140813660
started,bundle,com.aptana.ide.server.portal,2.0.0.1278523018,"com.aptana.ide.server.portal",1295140813746
started,bundle,org.eclipse.eclipsemonkey.doms,2.0.0.1277749615,"org.eclipse.eclipsemonkey.doms",1295140813755
started,bundle,com.aptana.ide.server,2.0.0.1278523018,"com.aptana.ide.server",1295140813772
started,bundle,org.eclipse.cdt.codan.ui.cxx,1.0.0.201009241320,"org.eclipse.cdt.codan.ui.cxx",1295140813895
started,bundle,org.eclipse.cdt.scripting,1.0.0.201009241320,"org.eclipse.cdt.scripting",1295140814265
started,bundle,com.aptana.ide.documentation,2.0.0.1278523018,"com.aptana.ide.documentation",1295140814296
started,bundle,com.aptana.ide.samples.ui,2.0.0.1278614541,"com.aptana.ide.samples.ui",1295140814303
started,bundle,com.aptana.ide.update.portal,2.0.0.1278614541,"com.aptana.ide.update.portal",1295140814318
opened,editor,com.aptana.ide.server.portal,2.0.0.1278523018,"com.aptana.ide.server.portal.ui.MyAptanaEditor",1295140814326
started,bundle,org.eclipse.cdt.core.tests,5.2.1.201009241320,"org.eclipse.cdt.core.tests",1295140814604
started,bundle,org.eclipse.cdt.make.core,7.0.0.201009241320,"org.eclipse.cdt.make.core",1295140814617
started,bundle,org.eclipse.cdt.managedbuilder.core,7.0.1.201009241320,"org.eclipse.cdt.managedbuilder.core",1295140814653
started,bundle,org.eclipse.cdt.core,5.2.1.201009241320,"org.eclipse.cdt.core",1295140814697
started,bundle,org.eclipse.cdt.ui.tests,5.1.0.201009241320,"org.eclipse.cdt.ui.tests",1295140814749
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1295140814809
started,bundle,org.eclipse.cdt.ui,5.2.1.201009241320,"org.eclipse.cdt.ui",1295140814812
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201009241320,"org.eclipse.cdt.codan.core.cxx",1295140814813
started,bundle,org.eclipse.cdt.codan.core,1.0.0.201009241320,"org.eclipse.cdt.codan.core",1295140814817
started,bundle,org.eclipse.cdt.make.ui,7.0.0.201009241320,"org.eclipse.cdt.make.ui",1295140814819
started,bundle,com.aptana.ide.server.core,2.0.0.1278523018,"com.aptana.ide.server.core",1295140814910
started,bundle,org.python.pydev.core,1.6.3.2010100513,"org.python.pydev.core",1295140823665
started,bundle,org.python.pydev.debug,1.6.3.2010100513,"org.python.pydev.debug",1295140823667
activated,editor,com.aptana.ide.server.portal,2.0.0.1278523018,"com.aptana.ide.server.portal.ui.MyAptanaEditor",1295140830352
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1295140830505
closed,editor,com.aptana.ide.server.portal,2.0.0.1278523018,"com.aptana.ide.server.portal.ui.MyAptanaEditor",1295140830505
started,bundle,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.resources",1295140834335
started,bundle,com.python.pydev.analysis,1.6.3.2010100513,"com.python.pydev.analysis",1295140834414
started,bundle,org.python.pydev,1.6.3.2010100513,"org.python.pydev",1295140834428
started,bundle,org.eclipse.wst.jsdt.core,1.1.2.v201009011528,"org.eclipse.wst.jsdt.core",1295140834590
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1295140834728
